STATION_NAME,LAT,LON,Annual,0
CHARTERS-TOWERS-AIRPORT,-20.05,146.27,31.29,252.9807692307692
COBAR-MO,-31.48,145.83,27.05,234.0566666666666
COFFS-HARBOUR-MO,-30.31,153.12,24.94,206.5312820512821
CUNDERDIN-AIRFIELD,-31.62,117.22,27.03,239.94205128205127
DALWALLINU-COMPARISON,-30.28,116.66,27.86,244.93717948717946
DARWIN-AIRPORT,-12.42,130.89,33.4,238.56987179487186
DENILIQUIN-AIRPORT-AWS,-35.56,144.95,24.75,217.4278205128206
DUBBO-AIRPORT-AWS,-32.22,148.58,25.57,225.25448717948706
EAST-SALE-AIRPORT,-38.12,147.13,21.48,185.64371794871795
ESPERANCE,-33.83,121.89,23.02,213.71282051282054
EUCLA,-31.68,128.88,24.31,225.51974358974354
FORREST,-30.85,128.11,27.3,233.7058974358974
GABO-ISLAND-LIGHTHOUSE,-37.57,149.92,19.74,180.68423076923068
GAYNDAH-AIRPORT,-25.62,151.62,29.78,227.89756410256413
GEORGETOWN-AIRPORT,-18.3,143.53,34.01,259.6933333333333
GERALDTON-AIRPORT-COMPARISON,-28.8,114.7,27.15,250.28230769230765
GILES-METEOROLOGICAL-OFFICE,-25.03,128.3,30.87,258.4346153846153
GROVE-RESEARCH-STATION,-42.99,147.07,18.89,171.52589743589746
GUNNEDAH-RESOURCE-CENTRE,-31.03,150.27,26.2,222.3760256410257
HALLS-CREEK-AIRPORT,-18.23,127.66,35.38,264.8110256410256
HOBART-ELLERSLIE-ROAD,-42.89,147.33,19.21,171.52589743589746
HORN-ISLAND,-10.58,142.29,31.45,216.56935897435898
